character,ascension,floor,hp,gold,path,deck,relics,victory
2,1,1,74,110,M|M|$|M|?|R|E|M|T|?|M|M|R|E|R|BOSS|,Defend_B|Defend_B|Zap+1|Dualcast+1|Cold Snap|Sweeping Beam|Leap|Hologram|Genetic Algorithm+1|Beam Cell|Rainbow+1|Coolheaded|Barrage|Machine Learning|Glacier+1|Self Repair+1|Coolheaded|White Noise+1|Storm+1|BootSequence|Redo+1|Apotheosis+1|Glacier|Chill|Static Discharge+1|Electrodynamics|Coolheaded|Capacitor+1,Cracked Core|MawBank|Question Card|Shovel|TheAbacus|Nloth's Gift|Blood Vial|Nilry's Codex|Pantograph|Tiny House,0
2,1,2,74,126,M|M|$|M|?|R|E|M|T|?|M|M|R|E|R|BOSS|,Defend_B|Defend_B|Zap+1|Dualcast+1|Cold Snap|Sweeping Beam|Leap|Hologram|Genetic Algorithm+1|Beam Cell|Rainbow+1|Coolheaded|Barrage|Machine Learning|Glacier+1|Self Repair+1|Coolheaded|White Noise+1|Storm+1|BootSequence|Redo+1|Apotheosis+1|Glacier|Chill|Static Discharge+1|Electrodynamics|Coolheaded|Capacitor+1,Cracked Core|MawBank|Question Card|Shovel|TheAbacus|Nloth's Gift|Blood Vial|Nilry's Codex|Pantograph|Tiny House,0
2,1,3,74,29,M|M|$|M|?|R|E|M|T|?|M|M|R|E|R|BOSS|,Defend_B|Defend_B|Zap+1|Dualcast+1|Cold Snap|Sweeping Beam|Leap|Hologram|Genetic Algorithm+1|Beam Cell|Rainbow+1|Coolheaded|Barrage|Machine Learning|Glacier+1|Self Repair+1|Coolheaded|White Noise+1|Storm+1|BootSequence|Redo+1|Apotheosis+1|Glacier|Chill|Static Discharge+1|Electrodynamics|Coolheaded|Capacitor+1,Cracked Core|MawBank|Question Card|Shovel|TheAbacus|Nloth's Gift|Blood Vial|Nilry's Codex|Pantograph|Tiny House,0
2,1,4,74,40,M|M|$|M|?|R|E|M|T|?|M|M|R|E|R|BOSS|,Defend_B|Defend_B|Zap+1|Dualcast+1|Cold Snap|Sweeping Beam|Leap|Hologram|Genetic Algorithm+1|Beam Cell|Rainbow+1|Coolheaded|Barrage|Machine Learning|Glacier+1|Self Repair+1|Coolheaded|White Noise+1|Storm+1|BootSequence|Redo+1|Apotheosis+1|Glacier|Chill|Static Discharge+1|Electrodynamics|Coolheaded|Capacitor+1,Cracked Core|MawBank|Question Card|Shovel|TheAbacus|Nloth's Gift|Blood Vial|Nilry's Codex|Pantograph|Tiny House,0
2,1,5,63,115,M|M|$|M|?|R|E|M|T|?|M|M|R|E|R|BOSS|,Defend_B|Defend_B|Zap+1|Dualcast+1|Cold Snap|Sweeping Beam|Leap|Hologram|Genetic Algorithm+1|Beam Cell|Rainbow+1|Coolheaded|Barrage|Machine Learning|Glacier+1|Self Repair+1|Coolheaded|White Noise+1|Storm+1|BootSequence|Redo+1|Apotheosis+1|Glacier|Chill|Static Discharge+1|Electrodynamics|Coolheaded|Capacitor+1,Cracked Core|MawBank|Question Card|Shovel|TheAbacus|Nloth's Gift|Blood Vial|Nilry's Codex|Pantograph|Tiny House,0
0,0,8,74,102,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,9,74,102,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,10,58,102,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,11,58,27,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,12,38,60,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
